Epoch,Timestamp,Open,High,Low,Close
1789616700,2026-09-17T09:15:00,23196.4,23236.15,23196.15,23235.05
1789616715,2026-09-17T09:15:15,23234,23253.45,23234,23251.55
1789616730,2026-09-17T09:15:30,23251.35,23255.65,23221.65,23222.25
1789616745,2026-09-17T09:15:45,23223.1,23226.75,23209.8,23211.95
1789616760,2026-09-17T09:16:00,23212.05,23213.9,23201.1,23201.6
1789616775,2026-09-17T09:16:15,23202.45,23205.05,23197,23204.35
1789616790,2026-09-17T09:16:30,23207.1,23223.9,23206.15,23221.8
1789616805,2026-09-17T09:16:45,23222.3,23228.25,23217.35,23218.65
1789616820,2026-09-17T09:17:00,23220.3,23225.6,23217,23225.35
1789616835,2026-09-17T09:17:15,23226.05,23239.05,23224.65,23238.55
1789616850,2026-09-17T09:17:30,23241.65,23244.1,23237.2,23242.5
1789616865,2026-09-17T09:17:45,23242.05,23246,23239.7,23245.1
1789616880,2026-09-17T09:18:00,23247.95,23257,23243.35,23256.55
1789616895,2026-09-17T09:18:15,23256.55,23259.9,23250.45,23252.25
1789616910,2026-09-17T09:18:30,23253.7,23259.35,23251.6,23258.8
1789616925,2026-09-17T09:18:45,23257.75,23260.9,23256.05,23256.3
1789616940,2026-09-17T09:19:00,23259.2,23259.3,23254,23255.25
1789616955,2026-09-17T09:19:15,23255.35,23262.05,23255.35,23261.25
1789616970,2026-09-17T09:19:30,23263.05,23263.2,23256.4,23258.2
1789616985,2026-09-17T09:19:45,23257.95,23258.9,23253.3,23255.95
1789617000,2026-09-17T09:20:00,23257.45,23257.45,23250.3,23251.8
1789617015,2026-09-17T09:20:15,23252.35,23265,23251.75,23262.95
1789617030,2026-09-17T09:20:30,23267.7,23267.7,23248.8,23250.6
1789617045,2026-09-17T09:20:45,23250.85,23256.3,23247.55,23254.95
1789617060,2026-09-17T09:21:00,23257.1,23260.8,23254.05,23257.7
1789617075,2026-09-17T09:21:15,23257.6,23260,23254.7,23256.2
1789617090,2026-09-17T09:21:30,23258.3,23258.3,23245.8,23245.8
1789617105,2026-09-17T09:21:45,23245.8,23256.65,23245.05,23255.95
1789617120,2026-09-17T09:22:00,23255.55,23256.45,23251.3,23252.8
1789617135,2026-09-17T09:22:15,23252.85,23252.85,23246.05,23248.55
1789617150,2026-09-17T09:22:30,23249.65,23251.1,23242.1,23242.65
1789617165,2026-09-17T09:22:45,23242.25,23245.4,23239.45,23240.75
1789617180,2026-09-17T09:23:00,23241.65,23242.95,23237.6,23241.1
1789617195,2026-09-17T09:23:15,23241.05,23241.5,23237.75,23239.75
1789617210,2026-09-17T09:23:30,23241.15,23241.75,23237.85,23239.35
