Epoch,Timestamp,Open,High,Low,Close
1788493500,2026-09-04T09:15:00,23915.45,23948.35,23914.8,23938.85
1788493515,2026-09-04T09:15:15,23941.1,23941.1,23928.05,23928.95
1788493530,2026-09-04T09:15:30,23928.65,23929.1,23911.7,23914.8
1788493545,2026-09-04T09:15:45,23916.75,23916.75,23903.15,23906.8
1788493560,2026-09-04T09:16:00,23908.3,23917.8,23907.55,23917.5
1788493575,2026-09-04T09:16:15,23919.15,23934.05,23919.15,23934.05
1788493590,2026-09-04T09:16:30,23933.9,23934.7,23930.3,23931.4
1788493605,2026-09-04T09:16:45,23931.95,23932.5,23925.5,23928.25
1788493620,2026-09-04T09:17:00,23931.1,23931.1,23923.5,23924.55
1788493635,2026-09-04T09:17:15,23923.9,23924.35,23916,23921.35
1788493650,2026-09-04T09:17:30,23922.4,23924.55,23921.45,23923.35
1788493665,2026-09-04T09:17:45,23923.15,23924.45,23919.9,23922.3
1788493680,2026-09-04T09:18:00,23922.9,23924.85,23921.55,23922.85
1788493695,2026-09-04T09:18:15,23922.65,23924.65,23917.4,23924.65
1788493710,2026-09-04T09:18:30,23924.55,23926.55,23921.75,23922
1788493725,2026-09-04T09:18:45,23922.2,23928.8,23922.1,23928.4
1788493740,2026-09-04T09:19:00,23928.1,23932.15,23928.1,23930.55
1788493755,2026-09-04T09:19:15,23932.3,23936.45,23930.45,23930.7
1788493770,2026-09-04T09:19:30,23931.05,23931.05,23925.8,23927.35
1788493785,2026-09-04T09:19:45,23926.6,23928.6,23925.2,23927.2
1788493800,2026-09-04T09:20:00,23928.1,23931.3,23927.45,23928.7
1788493815,2026-09-04T09:20:15,23928.4,23929.15,23924.15,23928
1788493830,2026-09-04T09:20:30,23928.3,23929.1,23925.6,23925.6
1788493845,2026-09-04T09:20:45,23926.75,23926.75,23923.75,23923.9
1788493860,2026-09-04T09:21:00,23924.25,23926.95,23919.95,23920.6
1788493875,2026-09-04T09:21:15,23920.45,23923.1,23919.35,23920.2
1788493890,2026-09-04T09:21:30,23920.2,23922.75,23916.6,23916.95
1788493905,2026-09-04T09:21:45,23916.3,23917.5,23913.8,23916.35
1788493920,2026-09-04T09:22:00,23916.75,23917.2,23910.6,23912.7
1788493935,2026-09-04T09:22:15,23912.65,23916.25,23911.1,23913.25
1788493950,2026-09-04T09:22:30,23913.85,23915.25,23910.3,23912.45
1788493965,2026-09-04T09:22:45,23912.1,23913.55,23910.75,23912.05
